dataset,n,date,constant_multiplier,largest_h_minor_model,smallest_h_separator,separator_size,max_bfs_depth,iterations,first_condition_calls,line11_calls,line11_median_returns,time_elapsed_seconds,search_seconds,final_run_seconds,peak_rss_mb
datasets/road-euroroad.txt,1039,2026-07-17,1,3,4,47,43,1,0,1,1,0.103,0.084,0.019,20.5
datasets/minnesota.txt,2640,2026-07-17,1,2,3,50,99,1,0,1,1,0.19,0.161,0.029,27.9
datasets/road-euroroad.txt,1039,2026-07-17,2,5,6,69,66,11,10,1,1,0.483,0.373,0.111,22.7
datasets/road-euroroad.txt,1039,2026-07-17,50,5,6,72,66,12,12,0,0,0.539,0.422,0.117,22.5
datasets/road-euroroad.txt,1039,2026-07-17,100,5,6,72,66,12,12,0,0,0.579,0.44,0.139,22.5
datasets/road-euroroad.txt,1039,2026-07-17,5,5,6,72,66,12,12,0,0,0.604,0.462,0.142,22.6
datasets/road-euroroad.txt,1039,2026-07-17,3,5,6,72,66,12,12,0,0,0.644,0.484,0.16,22.5
datasets/road-euroroad.txt,1039,2026-07-17,10,5,6,72,66,12,12,0,0,0.666,0.483,0.184,22.8
datasets/road-euroroad.txt,1039,2026-07-17,20,5,6,72,66,12,12,0,0,0.673,0.527,0.146,22.5
datasets/minnesota.txt,2640,2026-07-17,2,3,4,55,133,15,15,0,0,1.284,0.759,0.525,29.8
datasets/minnesota.txt,2640,2026-07-17,3,3,4,55,133,15,15,0,0,1.135,0.638,0.497,28.9
datasets/minnesota.txt,2640,2026-07-17,50,3,4,55,133,15,15,0,0,1.032,0.643,0.389,28.5
datasets/minnesota.txt,2640,2026-07-17,20,3,4,55,133,15,15,0,0,1.101,0.636,0.464,28.9
datasets/minnesota.txt,2640,2026-07-17,5,3,4,55,133,15,15,0,0,1.196,0.683,0.513,28.8
datasets/minnesota.txt,2640,2026-07-17,10,3,4,55,133,15,15,0,0,1.21,0.714,0.497,28.6
datasets/minnesota.txt,2640,2026-07-17,100,3,4,55,133,15,15,0,0,1.17,0.653,0.516,28.9
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,1,4,5,370,159,6,6,0,0,6.828,4.894,1.934,50.6
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,1,4,5,227,98,4,3,1,1,1.973,1.605,0.368,50.6
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,20,4,5,370,159,6,6,0,0,9.529,7.736,1.792,51.0
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,50,4,5,370,159,6,6,0,0,9.626,7.59,2.036,51.2
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,10,4,5,370,159,6,6,0,0,9.827,7.843,1.985,50.2
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,2,4,5,370,159,6,6,0,0,10.055,8.227,1.828,51.4
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,3,4,5,370,159,6,6,0,0,10.051,8.011,2.04,51.6
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,5,4,5,370,159,6,6,0,0,9.985,8.001,1.984,50.2
datasets/San Joaquin Road Network's Edges.csv,18263,2026-07-17,100,4,5,370,159,6,6,0,0,9.904,7.964,1.94,50.4
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,2,5,6,200,198,11,10,1,1,4.707,3.742,0.965,50.6
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,3,5,6,282,198,11,11,0,0,4.462,3.563,0.899,51.0
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,5,5,6,282,198,11,11,0,0,4.627,3.774,0.854,51.2
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,20,5,6,282,198,11,11,0,0,4.665,3.735,0.931,51.4
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,50,5,6,282,198,11,11,0,0,4.842,3.761,1.082,50.2
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,100,5,6,282,198,11,11,0,0,4.867,3.887,0.98,51.6
datasets/Oldenburg Road Network's Edges.csv,6105,2026-07-17,10,5,6,282,198,11,11,0,0,4.975,3.911,1.064,50.2
datasets/social/tvshow_edges.csv,3892,2026-07-17,1,18,19,978,19,13,12,1,1,11.486,9.882,1.605,50.4
datasets/California Road Network's Edges.csv,21048,2026-07-17,1,1,2,57,601,1,0,1,1,0.901,0.537,0.364,61.3
datasets/California Road Network's Edges.csv,21048,2026-07-17,2,2,3,60,621,4,3,1,1,3.781,2.418,1.362,77.5
datasets/California Road Network's Edges.csv,21048,2026-07-17,3,3,4,304,707,7,6,1,1,7.089,4.662,2.427,81.4
datasets/social/tvshow_edges.csv,3892,2026-07-17,2,27,28,516,22,28,28,0,0,27.707,23.597,4.109,50.6
datasets/social/tvshow_edges.csv,3892,2026-07-17,5,27,28,516,22,28,28,0,0,27.832,23.871,3.961,51.2
datasets/social/tvshow_edges.csv,3892,2026-07-17,3,27,28,516,22,28,28,0,0,28.172,23.977,4.194,51.0
datasets/social/tvshow_edges.csv,3892,2026-07-17,10,27,28,516,22,28,28,0,0,27.656,23.617,4.039,51.4
datasets/social/tvshow_edges.csv,3892,2026-07-17,50,27,28,516,22,28,28,0,0,27.849,23.755,4.094,51.6
datasets/social/tvshow_edges.csv,3892,2026-07-17,20,27,28,516,22,28,28,0,0,28.207,23.952,4.255,50.2
datasets/social/tvshow_edges.csv,3892,2026-07-17,100,27,28,516,22,28,28,0,0,28.711,24.357,4.354,50.2
datasets/California Road Network's Edges.csv,21048,2026-07-17,5,4,5,523,707,18,18,0,0,22.33,16.648,5.682,89.3
datasets/California Road Network's Edges.csv,21048,2026-07-17,10,4,5,523,707,18,18,0,0,27.382,21.873,5.509,83.8
datasets/California Road Network's Edges.csv,21048,2026-07-17,50,4,5,523,707,18,18,0,0,27.226,21.63,5.596,85.5
datasets/California Road Network's Edges.csv,21048,2026-07-17,20,4,5,523,707,18,18,0,0,27.409,22.028,5.381,84.0
datasets/California Road Network's Edges.csv,21048,2026-07-17,100,4,5,523,707,18,18,0,0,27.456,21.841,5.615,83.3
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,3,58,59,426,8,60,60,0,0,125.499,108.342,17.157,50.2
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,10,58,59,426,8,60,60,0,0,125.692,108.803,16.889,89.3
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,5,58,59,426,8,60,60,0,0,126.406,109.363,17.043,51.6
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,20,58,59,426,8,60,60,0,0,126.595,109.804,16.791,98.2
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,100,58,59,426,8,60,60,0,0,125.579,108.966,16.613,91.8
datasets/social/musae_PTBR_edges.csv,1912,2026-07-17,50,58,59,426,8,60,60,0,0,126.443,109.659,16.784,92.9
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,2,43,44,1195,22,44,44,0,0,123.828,102.546,21.282,91.8
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,3,43,44,1195,22,44,44,0,0,128.79,107.139,21.65,92.9
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,5,43,44,1195,22,44,44,0,0,130.93,114.058,16.872,98.2
datasets/social/musae_RU_edges.csv,4385,2026-07-17,5,64,65,758,10,65,65,0,0,255.107,226.245,28.862,50.2
datasets/social/musae_RU_edges.csv,4385,2026-07-17,10,64,65,758,10,65,65,0,0,257.93,229.953,27.977,86.3
datasets/social/musae_RU_edges.csv,4385,2026-07-17,20,64,65,758,10,65,65,0,0,261.984,233.928,28.056,50.2
datasets/social/musae_RU_edges.csv,4385,2026-07-17,50,64,65,758,10,65,65,0,0,263.671,236.113,27.558,89.3
datasets/social/musae_RU_edges.csv,4385,2026-07-17,100,64,65,758,10,65,65,0,0,263.9,236.485,27.414,51.6
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,10,43,44,1195,22,44,44,0,0,134.866,119.086,15.78,91.8
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,20,43,44,1195,22,44,44,0,0,133.974,117.844,16.13,92.9
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,50,43,44,1195,22,44,44,0,0,133.827,115.649,18.178,98.2
datasets/social/lastfm_asia_edges.csv,7624,2026-07-17,100,43,44,1195,22,44,44,0,0,134.011,117.533,16.478,50.2
datasets/social/facebook_combined.csv,4039,2026-07-17,1,20,21,126,15,36,36,0,0,138.636,116.379,22.257,86.3
datasets/luxembourg.csv,114599,2026-07-17,1,2,3,247,1034,1,0,1,1,14.783,11.505,3.277,206.7
datasets/social/facebook_combined.csv,4039,2026-07-17,2,20,21,126,15,36,36,0,0,148.468,126.314,22.154,50.2
datasets/social/facebook_combined.csv,4039,2026-07-17,5,20,21,126,15,36,36,0,0,149.118,126.943,22.176,51.6
datasets/social/facebook_combined.csv,4039,2026-07-17,3,20,21,126,15,36,36,0,0,149.975,127.569,22.405,89.3
datasets/luxembourg.csv,114599,2026-07-17,2,4,5,247,1034,1,0,1,1,39.351,35.936,3.415,225.8
datasets/social/facebook_combined.csv,4039,2026-07-17,10,20,21,126,15,36,36,0,0,149.367,127.133,22.234,91.8
datasets/social/facebook_combined.csv,4039,2026-07-17,20,20,21,126,15,36,36,0,0,149.483,127.023,22.46,92.9
datasets/social/facebook_combined.csv,4039,2026-07-17,50,20,21,126,15,36,36,0,0,148.631,126.54,22.091,98.2
datasets/luxembourg.csv,114599,2026-07-17,3,6,7,247,1034,1,0,1,1,66.735,63.222,3.512,205.2
datasets/social/facebook_combined.csv,4039,2026-07-17,100,20,21,126,15,36,36,0,0,146.587,124.76,21.827,55.6
datasets/luxembourg.csv,114599,2026-07-17,5,7,8,3324,1611,14,13,1,1,180.816,138.199,42.615,196.6
datasets/luxembourg.csv,114599,2026-07-17,10,7,8,4417,1611,16,16,0,0,190.089,142.496,47.592,203.7
datasets/luxembourg.csv,114599,2026-07-17,20,7,8,4417,1611,16,16,0,0,191.365,143.155,48.209,225.8
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,1,4,5,845,585,9,8,1,1,167.892,122.312,45.577,294.1
datasets/luxembourg.csv,114599,2026-07-17,50,7,8,4417,1611,16,16,0,0,193.543,144.038,49.503,192.8
datasets/luxembourg.csv,114599,2026-07-17,100,7,8,4417,1611,16,16,0,0,192.376,143.194,49.177,198.3
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,2,4,5,1123,585,17,17,0,0,393.158,311.132,82.025,294.6
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,3,4,5,1123,585,17,17,0,0,394.507,311.506,83.0,297.4
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,5,4,5,1123,585,17,17,0,0,399.628,318.059,81.568,282.0
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,10,4,5,1123,585,17,17,0,0,401.13,318.688,82.442,282.5
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,20,4,5,1123,585,17,17,0,0,397.854,316.257,81.596,276.1
datasets/San Francisco Road Network's Edges.csv,174956,2026-07-17,50,4,5,1123,585,17,17,0,0,399.709,317.861,81.847,294.1
